,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
171,Xiaojian Wang,QuESat: Satellite-Assisted Quantum Internet for Global-Scale Entanglement Distribution,Optimal entanglement distribution problem in satellite-based quantum networks,"Assistant Professor, University of Colorado Denver",,,,,,
172,Xiaojian Wang,QuESat: Satellite-Assisted Quantum Internet for Global-Scale Entanglement Distribution,Optimal entanglement distribution problem in satellite-based quantum networks,University of Colorado Denver,39.7460707,-105.001771,,Denver,Colorado,United States
173,Xiaojie Fan,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Co-Design of Network Topology and Qubit Allocation for Distributed Quantum Computing,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
174,Xiaojie Fan,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Optimal entanglement distribution problem in satellite-based quantum networks,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
175,Xiaojie Fan,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Topology design with resource allocation and entanglement distribution for quantum networks,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
176,Xiaoyu Liu,Distributed Quantum Information Processing: A Review of Recent Progress,Co-Design of Network Topology and Qubit Allocation for Distributed Quantum Computing,Leiden University,52.1686355,4.4597028,,Leiden,South Holland,Netherlands
177,Xinghua (Mindy) Shi,Joint participant and learning topology selection for federated learning in edge clouds,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Temple University,39.981188,-75.1562828,Philadelphia County,Philadelphia,Pennsylvania,United States
178,Xinghua (Mindy) Shi,Joint participant and learning topology selection for federated learning in edge clouds,Joint participant selection and learning optimization for federated learning of multiple models in edge cloud,Temple University,39.981188,-75.1562828,Philadelphia County,Philadelphia,Pennsylvania,United States
179,Xinghua (Mindy) Shi,Joint participant and learning topology selection for federated learning in edge clouds,Joint participant selection and learning scheduling for multi-model federated edge learning,Temple University,39.981188,-75.1562828,Philadelphia County,Philadelphia,Pennsylvania,United States
180,Xinghua (Mindy) Shi,Joint participant and learning topology selection for federated learning in edge clouds,Participant selection for hierarchical federated learning in edge clouds,Temple University,39.981188,-75.1562828,Philadelphia County,Philadelphia,Pennsylvania,United States
